timestamp,contact_1,contact_2,contact_3,contact_4
1741261517.4068313,37,35,36,34
1741261517.4082913,37,35,36,34
1741261517.410259,36,35,36,34
1741261517.4122715,36,35,36,34
1741261517.4142318,36,35,36,34
1741261517.4161952,36,35,36,34
1741261517.4181926,36,35,36,34
1741261517.4203444,36,35,36,34
1741261517.4221973,36,35,36,34
1741261517.4242456,36,35,36,34
1741261517.4262195,36,35,36,34
1741261517.428274,36,35,36,34
1741261517.4302318,36,35,36,34
1741261517.4322202,36,35,36,34
1741261517.434249,36,35,36,34
1741261517.436202,36,35,36,34
1741261517.438212,36,35,36,34
1741261517.4401944,36,36,36,35
1741261517.442204,36,36,36,35
1741261517.4441915,36,36,36,35
1741261517.4461992,36,36,36,35
1741261517.4482152,36,36,36,35
1741261517.4502099,36,36,36,35
1741261517.4521973,36,36,36,35
1741261517.454536,36,36,36,35
1741261517.4562175,36,36,36,35
1741261517.458217,36,36,36,35
1741261517.4602149,36,36,36,35
1741261517.4622314,36,36,36,35
1741261517.4642391,36,36,36,35
1741261517.4662066,36,36,36,35
1741261517.4682233,36,36,36,35
1741261517.4702106,36,36,36,35
1741261517.4721966,36,36,36,35
1741261517.4742146,36,36,36,35
1741261517.4762092,36,36,36,35
1741261517.4782295,36,36,36,34
1741261517.4802115,36,35,36,34
1741261517.4822414,36,35,36,34
1741261517.4842083,36,35,36,35
1741261517.4862046,36,35,36,35
1741261517.4882097,36,35,36,35
1741261517.4902072,36,35,36,35
1741261517.4922242,36,35,36,35
1741261517.4942136,36,35,36,35
1741261517.4962242,36,35,36,35
1741261517.498215,36,35,36,35
1741261517.5002027,36,35,36,35
1741261517.5022001,36,35,36,35
1741261517.504719,36,35,36,35
1741261517.5062046,36,35,36,35
1741261517.5082066,36,35,36,35
1741261517.5102074,36,35,36,35
1741261517.5122204,36,35,36,35
1741261517.5142214,36,35,36,35
1741261517.5162098,36,35,36,35
1741261517.5181942,36,35,36,35
1741261517.5201807,36,35,36,35
1741261517.5224888,36,36,36,35
1741261517.5241928,36,36,36,35
1741261517.526224,36,36,36,35
1741261517.5282063,36,36,36,35
1741261517.530206,36,36,36,35
1741261517.53218,36,36,36,35
1741261517.53418,36,36,36,35
1741261517.5361829,36,36,36,35
